Brewery_id,Beer,Beer_ID,Percent_ABV,IBU,Style,Ounces,Brewery,City,State,MedianIBU,MedianABV
1,Get Together,2692,4.5,50,American IPA,16,NorthGate Brewing ,Minneapolis, MN,45,5.6
1,Maggie's Leap,2691,4.9,26,Milk / Sweet Stout,16,NorthGate Brewing ,Minneapolis, MN,45,5.6
1,Wall's End,2690,4.8,19,English Brown Ale,16,NorthGate Brewing ,Minneapolis, MN,45,5.6
1,Pumpion,2689,6,38,Pumpkin Ale,16,NorthGate Brewing ,Minneapolis, MN,45,5.6
1,Stronghold,2688,6,25,American Porter,16,NorthGate Brewing ,Minneapolis, MN,45,5.6
1,Parapet ESB,2687,5.6,47,Extra Special / Strong Bitter (ESB),16,NorthGate Brewing ,Minneapolis, MN,45,5.6
2,Citra Ass Down,2686,8,68,American Double / Imperial IPA,16,Against the Grain Brewery,Louisville, KY,31,6.5
2,London Balling,2685,12.5,80,English Barleywine,16,Against the Grain Brewery,Louisville, KY,31,6.5
2,35 K,2684,7.7,25,Milk / Sweet Stout,16,Against the Grain Brewery,Louisville, KY,31,6.5
2,A Beer,2683,4.2,42,American Pale Ale (APA),16,Against the Grain Brewery,Louisville, KY,31,6.5
2,Rules are Rules,2682,5,25,German Pilsener,16,Against the Grain Brewery,Louisville, KY,31,6.5
2,Flesh Gourd'n,2681,6.6,21,Pumpkin Ale,16,Against the Grain Brewery,Louisville, KY,31,6.5
2,Sho'nuff,2680,4,13,Belgian Pale Ale,16,Against the Grain Brewery,Louisville, KY,31,6.5
2,Bloody Show,2679,5.5,17,American Pilsner,16,Against the Grain Brewery,Louisville, KY,31,6.5
2,Rico Sauvin,2678,7.6,68,American Double / Imperial IPA,16,Against the Grain Brewery,Louisville, KY,31,6.5
2,Coq de la Marche,2677,5.1,38,Saison / Farmhouse Ale,16,Against the Grain Brewery,Louisville, KY,31,6.5
2,Kamen Knuddeln,2676,6.5,27,American Wild Ale,16,Against the Grain Brewery,Louisville, KY,31,6.5
2,Pile of Face,2675,6,65,American IPA,16,Against the Grain Brewery,Louisville, KY,31,6.5
2,The Brown Note,2674,5,20,English Brown Ale,16,Against the Grain Brewery,Louisville, KY,31,6.5
3,House Lager,2673,5.2,18,Keller Bier / Zwickel Bier,16,Jack's Abby Craft Lagers,Framingham, MA,31,5.4
